City,location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year,Latitude,Longitude
Wilkes Barre-Scranton PA,577,80,32,63,71,79,68,78,42,72,2014,41.2343893,-75.8534771
Wilmington NC,550,77,51,73,60,75,66,66,53,71,2014,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,67,34,57,63,48,60,68,57,70,2014,46.2529128,-119.230849
Youngstown OH,536,82,33,60,68,64,59,83,50,69,2014,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,60,54,49,70,44,46,61,51,70,2014,32.6926512,-114.6276916
Zanesville OH,596,80,20,67,62,72,73,82,47,57,2014,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,60,32,51,78,100,61,74,65,80,2015,32.4106903,-99.7653019
Albany GA,525,69,53,55,66,53,55,67,65,82,2015,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,68,33,55,69,56,71,71,57,70,2015,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,62,39,53,64,50,62,67,53,76,2015,35.658802,-105.9603685
Alexandria LA,644,62,60,63,66,61,52,91,58,68,2015,31.3112936,-92.4451371
Alpena MI,583,67,0,94,85,53,68,95,0,62,2015,45.0616794,-83.4327528
Amarillo TX,634,61,37,50,65,61,60,81,45,75,2015,35.2219971,-101.8312969
Anchorage AK,743,54,29,67,56,33,67,62,48,72,2015,61.2180556,-149.9002778
Atlanta GA,524,65,45,50,54,55,53,63,45,64,2015,33.7489954,-84.3879824
Augusta GA,520,61,32,60,56,77,37,76,31,61,2015,33.4734978,-82.0105148
Austin TX,635,56,36,45,53,54,61,61,44,67,2015,30.267153,-97.7430608
Bakersfield CA,800,58,43,48,60,31,56,67,60,75,2015,35.3732921,-119.0187125
Baltimore MD,512,71,55,56,61,61,77,64,74,80,2015,39.2903848,-76.6121893
Bangor ME,537,71,44,68,79,66,81,66,65,84,2015,44.8016128,-68.7712257
Baton Rouge LA,716,62,64,55,64,73,53,72,58,70,2015,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,65,57,53,67,45,56,68,56,70,2015,30.080174,-94.1265562
Bend OR,821,67,28,51,59,45,83,63,54,62,2015,44.0581728,-121.3153096
"Billings, MT",756,63,40,61,67,55,89,74,58,70,2015,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,64,44,60,62,61,54,79,56,74,2015,30.3674198,-89.0928155
Binghamton NY,502,64,31,59,69,46,73,84,67,75,2015,42.0986867,-75.9179738
Birmingham AL,630,69,85,62,67,76,54,70,63,76,2015,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,76,41,71,83,56,63,100,65,89,2015,37.2698395,-81.2223195
Boise ID,757,56,36,59,67,63,64,68,60,70,2015,43.6150186,-116.2023137
Boston MA-Manchester NH,506,69,44,50,64,79,67,62,58,71,2015,42.929687,-71.4352177
Bowling Green KY,736,64,28,68,56,66,51,78,41,64,2015,36.9685219,-86.4808043
Buffalo NY,514,72,38,55,66,62,64,72,55,74,2015,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,65,37,55,70,69,77,66,66,67,2015,44.6988382,-73.3804304
Butte-Bozeman MT,754,59,24,59,64,57,74,74,53,66,2015,45.671834,-111.089227
Casper-Riverton WY,767,58,22,60,71,44,55,63,58,71,2015,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,68,54,56,69,51,67,71,70,77,2015,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,67,64,51,67,51,69,64,85,77,2015,,
Charleston SC,519,70,53,68,61,56,65,68,66,74,2015,32.7764749,-79.9310512
Charleston-Huntington WV,564,78,39,70,84,55,65,92,54,84,2015,38.4123775,-82.4270257
Charlotte NC,517,63,39,49,58,55,50,65,52,65,2015,35.2270869,-80.8431267
Charlottesville VA,584,73,71,60,68,60,73,62,68,74,2015,38.0293059,-78.4766781
Chattanooga TN,575,66,39,59,65,58,57,74,53,70,2015,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,63,25,51,65,52,65,77,60,69,2015,41.876312,-103.637984
Chicago IL,602,63,37,48,57,55,58,63,46,64,2015,41.8781136,-87.6297982
Chico-Redding CA,868,62,38,63,67,63,79,67,60,66,2015,39.775148,-121.8699698
Cincinnati OH,515,68,38,53,65,52,62,72,54,73,2015,39.1031182,-84.5120196
Clarksburg-Weston WV,598,70,35,65,83,54,77,88,58,83,2015,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,69,47,56,64,56,61,69,59,71,2015,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,58,41,48,67,47,70,69,49,69,2015,38.7978203,-104.7935738
Columbia SC,546,68,55,59,70,59,57,64,79,83,2015,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,67,60,56,62,65,68,73,87,75,2015,38.9517053,-92.3340724
Columbus GA,522,66,62,52,68,62,61,74,70,74,2015,32.4609764,-84.9877094
Columbus OH,535,69,42,51,65,56,62,67,55,71,2015,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,62,55,57,70,67,61,67,81,76,2015,34.2708332,-88.7150718
Corpus Christi TX,600,61,45,46,68,49,53,75,61,80,2015,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,56,39,47,53,60,53,66,38,65,2015,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,65,54,58,69,49,54,80,67,73,2015,41.5067003,-90.5151342
Dayton OH,542,68,45,55,64,50,64,74,56,73,2015,39.7589478,-84.1916069
Denver CO,751,57,37,50,59,49,60,62,52,60,2015,39.7392358,-104.990251
Des Moines-Ames IA,679,61,39,52,71,58,66,75,63,71,2015,42.0236281,-93.6097448
Detroit MI,505,67,40,54,61,64,57,69,46,65,2015,42.331427,-83.0457538
Dothan AL,606,71,41,53,63,62,44,75,41,74,2015,31.2232313,-85.3904888
Duluth MN-Superior WI,676,68,53,73,78,47,64,75,61,76,2015,46.7207737,-92.1040796
El Paso TX,765,50,60,38,53,31,50,52,59,77,2015,31.7618778,-106.4850217
Elmira NY,565,64,18,67,69,43,69,84,60,72,2015,42.0897965,-76.8077338
Erie PA,516,68,52,61,77,66,56,80,63,70,2015,42.1292241,-80.085059
Eugene OR,801,59,33,61,66,47,87,66,70,70,2015,44.0520691,-123.0867536
Eureka CA,802,59,29,51,74,46,90,59,51,60,2015,40.8020712,-124.1636729
Evansville IN,649,68,41,64,75,63,60,81,64,79,2015,37.9715592,-87.5710898
Fairbanks AK,745,49,50,63,77,25,55,69,56,73,2015,64.8377778,-147.7163888
Fargo-Valley City ND,724,63,43,65,75,41,66,75,59,78,2015,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,69,54,70,77,60,66,73,64,70,2015,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,61,24,62,54,69,37,69,26,61,2015,33.703071,-78.8892497
Fresno-Visalia CA,866,61,42,51,64,52,58,67,58,65,2015,36.32166,-119.3148878
Ft. Myers-Naples FL,571,76,44,68,52,59,60,68,43,64,2015,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,60,43,49,69,72,57,71,53,64,2015,,
Ft. Wayne IN,509,66,53,58,81,55,65,71,64,78,2015,41.079273,-85.1393513
Gainesville FL,592,72,86,74,65,71,82,66,99,85,2015,29.6516344,-82.3248262
Glendive MT,798,72,0,0,0,0,0,0,0,0,2015,47.106401,-104.7107931
Grand Junction-Montrose CO,773,63,24,66,71,48,69,65,53,75,2015,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,65,42,61,74,54,63,67,61,70,2015,42.2355515,-85.5515933
Great Falls MT,755,57,41,58,79,47,75,61,42,65,2015,47.5052849,-111.3007715
Green Bay-Appleton WI,658,63,29,57,72,44,63,65,59,60,2015,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,66,54,58,63,64,61,64,68,75,2015,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,64,38,63,62,56,57,75,53,72,2015,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,68,44,55,66,60,65,70,55,69,2015,34.8526176,-82.3940104
Greenwood-Greenville MS,647,71,85,55,74,72,36,67,86,85,2015,33.5171152,-90.1763225
Harlingen-Weslaco-Brownsville-McAllen TX,636,54,40,30,45,40,37,42,54,73,2015,,
Harrisburg-Lancaster-Lebanon-York PA,566,69,52,60,68,74,72,76,59,73,2015,39.9830208,-76.7197723
Harrisonburg VA,569,61,55,56,66,65,66,69,73,71,2015,38.4495688,-78.8689155
Hartford & New Haven CT,533,74,47,57,69,81,78,63,65,74,2015,41.3055024,-72.9267354
Hattiesburg-Laurel MS,710,63,52,55,73,66,45,80,69,74,2015,31.468239,-89.335421
Helena MT,766,63,27,65,61,70,86,83,50,90,2015,46.5891452,-112.0391057
Honolulu HI,744,59,38,57,56,46,61,65,55,65,2015,21.3069444,-157.8583333
Houston TX,618,62,40,47,50,48,51,61,40,67,2015,29.7604267,-95.3698028
Huntsville-Decatur (Florence) AL,691,70,49,57,65,62,55,74,48,71,2015,34.8279976,-87.6209133
Idaho Falls-Pocatello ID,758,54,46,66,80,49,64,73,88,90,2015,42.906046,-112.4315298
Indianapolis IN,527,68,53,54,71,58,68,65,68,82,2015,39.768403,-86.158068
Jackson MS,718,72,56,63,61,87,52,71,69,79,2015,32.2987573,-90.1848103
Jackson TN,639,83,71,62,71,74,56,80,78,85,2015,35.6145169,-88.8139469
Jacksonville FL,561,65,73,60,57,90,58,61,59,75,2015,30.3321838,-81.655651
Johnstown-Altoona PA,574,71,53,63,78,54,70,71,78,68,2015,40.4529782,-78.3930329
Jonesboro AR,734,67,57,72,100,80,48,78,60,73,2015,35.8422967,-90.704279
Joplin MO-Pittsburg KS,603,67,53,50,68,51,61,70,56,68,2015,37.3948426,-94.700525
Juneau AK,747,49,0,79,66,34,100,76,0,70,2015,58.3019444,-134.4197221
Kansas City MO,616,68,54,54,65,63,65,66,55,75,2015,39.0997265,-94.5785667
Knoxville TN,557,70,32,59,69,68,68,79,54,75,2015,35.9606384,-83.9207392
La Crosse-Eau Claire WI,702,67,53,72,78,41,70,75,80,73,2015,44.8651049,-91.4743642
Lafayette IN,582,61,70,54,69,31,76,52,95,72,2015,40.4167022,-86.8752869
Lafayette LA,642,59,87,67,62,56,53,70,48,64,2015,30.2240897,-92.0198427
Lake Charles LA,643,66,48,62,64,60,40,79,46,66,2015,30.2265949,-93.2173758
Lansing MI,551,64,63,52,68,71,80,65,80,73,2015,42.732535,-84.5555347
Laredo TX,749,59,51,39,61,31,35,50,49,74,2015,27.5035613,-99.5075519
Las Vegas NV,839,58,34,45,53,54,50,65,43,70,2015,36.1699412,-115.1398296
Lexington KY,541,73,44,61,72,56,64,87,80,79,2015,38.0405837,-84.5037164
Lima OH,558,70,27,58,76,47,65,82,52,83,2015,40.742551,-84.1052256
Lincoln & Hastings-Kearney NE,722,61,43,54,75,51,63,71,66,70,2015,40.5827492,-98.3915866
Little Rock-Pine Bluff AR,693,67,48,64,74,79,56,74,61,77,2015,34.2025124,-92.0491611
Los Angeles CA,803,57,35,46,55,42,56,58,52,63,2015,34.0522342,-118.2436849
Louisville KY,529,69,53,59,65,90,64,76,53,81,2015,38.2526647,-85.7584557
Lubbock TX,651,56,42,44,66,56,64,76,57,74,2015,33.5778631,-101.8551665
Macon GA,503,66,60,62,68,66,53,71,60,73,2015,32.8406946,-83.6324022
Madison WI,669,64,34,57,59,47,69,72,48,64,2015,43.0730517,-89.4012302
Mankato MN,737,57,61,55,72,25,55,63,96,64,2015,44.1635775,-93.9993996
Marquette MI,553,63,47,80,79,53,70,70,61,77,2015,46.5436199,-87.3953713
Medford-Klamath Falls OR,813,60,37,62,63,42,81,68,62,71,2015,42.224924,-121.7722781
Memphis TN,640,67,83,58,58,69,49,67,62,78,2015,35.1495343,-90.0489801
Meridian MS,711,68,100,50,63,51,40,67,72,80,2015,32.3643098,-88.703656
Miami-Ft. Lauderdale FL,528,62,45,47,46,55,47,51,46,61,2015,26.0947577,-80.1352122
Milwaukee WI,617,65,47,58,65,55,64,64,55,71,2015,43.0389025,-87.9064736
Minneapolis-St. Paul MN,613,62,48,55,66,47,65,64,56,69,2015,44.9374831,-93.2009998
Minot-Bismarck-Dickinson(Williston) ND,687,62,29,70,64,39,76,80,36,68,2015,46.8067257,-100.7865799
Missoula MT,762,61,34,63,67,50,75,62,59,73,2015,46.8721284,-113.9940314
Mobile AL-Pensacola (Ft. Walton Beach) FL,686,68,43,64,60,63,58,74,46,77,2015,30.4684724,-87.2087375
Monroe LA-El Dorado AR,628,69,60,56,65,67,60,67,78,83,2015,33.2152717,-92.64196
Monterey-Salinas CA,828,55,26,50,62,31,70,51,72,56,2015,36.6777372,-121.6555013
Montgomery (Selma) AL,698,80,94,61,67,74,56,72,55,83,2015,32.4068484,-87.0190868
Nashville TN,659,70,49,59,61,73,62,76,51,72,2015,36.1626638,-86.7816016
New Orleans LA,622,63,49,59,55,57,57,68,50,69,2015,29.9510658,-90.0715323
New York NY,501,64,36,44,55,53,58,56,46,63,2015,40.7127753,-74.0059728
Norfolk-Portsmouth-Newport News VA,544,64,52,56,61,50,59,67,56,73,2015,36.8354258,-76.2982742
North Platte NE,740,71,43,62,76,41,45,64,0,79,2015,41.1402759,-100.7601454
Odessa-Midland TX,633,54,36,45,60,48,48,77,48,67,2015,31.9391746,-102.2522487
Oklahoma City OK,650,63,43,56,55,60,59,72,45,68,2015,35.4675602,-97.5164276
Omaha NE,652,64,36,52,58,66,63,74,53,73,2015,41.2565369,-95.9345034
Orlando-Daytona Beach-Melbourne FL,534,66,48,55,49,67,48,65,40,67,2015,,
Ottumwa IA-Kirksville MO,631,68,35,71,97,51,89,65,94,92,2015,,
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,69,58,56,74,68,50,81,64,79,2015,37.0833893,-88.6000478
Palm Springs CA,804,69,35,55,58,44,58,59,43,64,2015,33.8302961,-116.5452921
Panama City FL,656,63,67,72,50,71,51,71,44,73,2015,30.1588129,-85.6602058
Parkersburg WV,597,76,25,61,77,65,61,93,38,100,2015,39.2667418,-81.5615135
Peoria-Bloomington IL,675,67,47,65,67,45,65,73,66,71,2015,40.4566216,-88.9758277
Philadelphia PA,504,71,45,51,63,77,69,67,56,72,2015,39.9525839,-75.1652215
Phoenix AZ,753,63,54,52,59,60,60,67,56,72,2015,33.4483771,-112.0740373
Pittsburgh PA,508,73,45,60,67,74,70,73,54,72,2015,40.4406248,-79.9958864
Portland OR,820,46,32,40,45,34,50,44,42,57,2015,45.5051064,-122.6750261
Portland-Auburn ME,500,67,43,61,70,67,64,68,48,73,2015,44.021648,-70.2832225
Presque Isle ME,552,81,37,100,88,58,88,94,98,82,2015,46.681153,-68.0158614
Providence RI-New Bedford MA,521,65,50,51,65,59,70,66,59,68,2015,41.8563438,-71.2874209
Quincy IL-Hannibal MO-Keokuk IA,717,71,73,52,87,50,64,73,83,90,2015,,
Raleigh-Durham (Fayetteville) NC,560,67,51,53,61,52,70,63,69,75,2015,35.0478668,-78.8565861
Rapid City SD,764,56,47,62,76,56,69,73,52,67,2015,44.0805434,-103.2310149
Reno NV,811,57,28,55,57,43,68,69,57,65,2015,39.5296329,-119.8138027
Richmond-Petersburg VA,556,66,78,52,66,55,67,60,63,79,2015,,
Roanoke-Lynchburg VA,573,22,14,19,15,14,18,13,17,28,2015,37.3177678,-79.9994997
Rochester MN-Mason City IA-Austin MN,611,100,98,66,75,47,96,76,100,95,2015,,
Rochester NY,538,72,47,57,67,48,69,71,65,72,2015,43.1565779,-77.6088465
Rockford IL,610,66,46,60,73,52,68,75,52,68,2015,42.2711311,-89.0939952
Sacramento-Stockton-Modesto CA,862,61,39,56,61,44,75,62,58,73,2015,37.9570225,-121.2797902
Salisbury MD,576,71,65,64,63,61,64,69,67,73,2015,38.3606736,-75.5993692
Salt Lake City UT,770,54,39,54,67,62,58,67,58,72,2015,40.7607793,-111.8910474
San Angelo TX,661,62,39,42,66,100,58,77,51,80,2015,31.4637723,-100.4370375
San Antonio TX,641,59,43,47,53,62,56,66,47,76,2015,29.4241219,-98.4936282
San Diego CA,825,60,47,47,54,43,66,60,57,68,2015,32.715738,-117.1610838
San Francisco-Oakland-San Jose CA,807,57,33,47,50,37,63,53,43,61,2015,,
Santa Barbara-Santa Maria-San Luis Obispo CA,855,57,28,48,63,32,68,57,56,57,2015,34.9226032,-120.4299882
Savannah GA,507,68,56,61,64,53,53,67,69,67,2015,32.0808989,-81.091203
Seattle-Tacoma WA,819,57,25,53,57,48,71,61,45,64,2015,47.4502499,-122.3088165
Sherman TX-Ada OK,657,65,42,63,64,70,60,77,63,75,2015,33.6872249,-96.5753925
Shreveport LA,612,66,63,62,63,64,49,74,62,83,2015,32.5251516,-93.7501789
Sioux City IA,624,62,58,59,73,49,55,68,58,68,2015,42.4963416,-96.4049408
Sioux Falls(Mitchell) SD,725,72,59,60,75,47,85,75,68,89,2015,43.5835394,-96.7118155
South Bend-Elkhart IN,588,63,53,47,68,45,62,69,60,68,2015,41.6843287,-85.9708313
Spokane WA,881,61,34,58,67,49,72,70,66,68,2015,47.6587802,-117.4260465
Springfield MO,619,66,42,61,72,66,53,79,58,74,2015,37.2089572,-93.2922989
Springfield-Holyoke MA,543,67,62,56,78,75,72,63,81,75,2015,42.2042586,-72.6162009
St. Joseph MO,638,64,68,64,67,60,76,81,57,84,2015,39.7674578,-94.846681
St. Louis MO,609,67,37,54,62,65,60,70,50,70,2015,38.6270025,-90.1994042
Syracuse NY,555,69,45,60,71,50,72,69,73,74,2015,43.0481221,-76.1474244
Tallahassee FL-Thomasville GA,530,65,63,60,68,61,57,58,79,77,2015,30.3350027,-84.2105744
Tampa-St. Petersburg (Sarasota) FL,539,72,46,58,53,72,54,68,49,68,2015,28.274347,-82.3885783
Terre Haute IN,581,66,46,57,73,60,50,80,74,76,2015,39.4667034,-87.4139092
Toledo OH,547,69,52,62,72,67,63,75,60,77,2015,41.6528052,-83.5378674
Topeka KS,605,57,33,58,64,48,70,71,75,69,2015,39.0473451,-95.6751576
Traverse City-Cadillac MI,540,64,34,65,76,49,71,70,57,69,2015,44.7354212,-85.5946084
Tri-Cities TN-VA,531,78,62,60,70,63,78,89,60,85,2015,36.5450182,-82.5555539
Tucson (Sierra Vista) AZ,789,66,40,52,68,44,72,68,62,77,2015,32.2709837,-110.9614306
Tulsa OK,671,43,25,44,41,32,39,44,32,51,2015,36.1539816,-95.992775
Twin Falls ID,760,56,43,54,83,39,50,59,67,69,2015,42.5558381,-114.4700518
Tyler-Longview(Lufkin & Nacogdoches) TX,709,61,66,59,70,58,68,74,55,80,2015,,
Utica NY,526,73,25,55,86,49,75,77,77,75,2015,43.100903,-75.232664
Victoria TX,626,66,34,43,51,61,58,81,0,72,2015,28.8052674,-97.0035982
Waco-Temple-Bryan TX,625,56,49,51,64,54,62,71,66,69,2015,31.6046625,-97.1980025
Washington DC (Hagerstown MD),511,60,32,42,50,47,63,56,47,62,2015,39.642645,-77.721057
Watertown NY,549,61,36,56,65,41,61,71,48,70,2015,43.9747838,-75.9107565
Wausau-Rhinelander WI,705,66,56,66,69,50,75,75,68,69,2015,45.6555505,-89.3920037
West Palm Beach-Ft. Pierce FL,548,71,45,55,54,80,59,57,48,71,2015,27.366166,-80.2467597
Wheeling WV-Steubenville OH,554,74,48,66,75,68,80,76,60,79,2015,40.3668048,-80.6317037
Wichita Falls TX & Lawton OK,627,60,49,55,75,71,64,82,53,75,2015,34.6092311,-98.418011
Wichita-Hutchinson KS,678,65,51,57,68,52,62,72,51,70,2015,37.6871761,-97.330053
Wilkes Barre-Scranton PA,577,74,41,62,76,74,71,84,54,74,2015,41.2343893,-75.8534771
Wilmington NC,550,68,42,65,67,66,64,63,60,64,2015,34.2103894,-77.8868117
Yakima-Pasco-Richland-Kennewick WA,810,61,40,52,62,41,69,70,57,83,2015,46.2529128,-119.230849
Youngstown OH,536,72,47,59,68,63,62,79,65,77,2015,41.0997803,-80.6495194
Yuma AZ-El Centro CA,771,58,55,43,65,34,51,64,72,72,2015,32.6926512,-114.6276916
Zanesville OH,596,73,21,55,67,62,60,83,53,48,2015,39.9403453,-82.0131924
Abilene-Sweetwater TX,662,61,50,69,65,100,66,77,48,80,2016,32.4106903,-99.7653019
Albany GA,525,63,67,67,59,47,51,68,56,79,2016,31.5785074,-84.155741
Albany-Schenectady-Troy NY,532,71,28,60,61,52,70,75,45,73,2016,42.7636479,-73.6536209
Albuquerque-Santa Fe NM,790,61,40,58,61,52,59,70,47,83,2016,35.658802,-105.9603685
Alexandria LA,644,61,43,70,58,63,65,79,54,79,2016,31.3112936,-92.4451371
Alpena MI,583,78,0,100,74,52,65,90,0,79,2016,45.0616794,-83.4327528
Amarillo TX,634,61,34,56,54,46,61,88,35,83,2016,35.2219971,-101.8312969
Anchorage AK,743,53,39,71,55,27,69,65,45,88,2016,61.2180556,-149.9002778
Atlanta GA,524,66,45,58,52,51,57,68,43,73,2016,33.7489954,-84.3879824
Augusta GA,520,66,70,70,57,62,60,74,55,79,2016,33.4734978,-82.0105148
Austin TX,635,56,33,52,50,49,62,63,40,73,2016,30.267153,-97.7430608
Bakersfield CA,800,60,52,51,56,31,50,75,52,79,2016,35.3732921,-119.0187125
Baltimore MD,512,71,54,58,59,54,71,67,61,86,2016,39.2903848,-76.6121893
Bangor ME,537,72,52,78,65,54,80,77,53,92,2016,44.8016128,-68.7712257
Baton Rouge LA,716,57,67,61,56,58,56,69,58,68,2016,30.4514677,-91.1871466
Beaumont-Port Arthur TX,692,61,44,63,52,46,52,76,26,75,2016,30.080174,-94.1265562
Bend OR,821,66,43,72,57,41,70,63,41,61,2016,44.0581728,-121.3153096
"Billings, MT",756,58,38,63,58,46,71,71,50,83,2016,45.7832856,-108.5006904
Biloxi-Gulfport MS,746,62,43,63,56,57,44,74,47,88,2016,30.3674198,-89.0928155
Binghamton NY,502,74,33,66,66,44,72,79,70,74,2016,42.0986867,-75.9179738
Birmingham AL,630,71,75,69,61,74,56,77,49,81,2016,33.5185892,-86.8103567
Bluefield-Beckley-Oak Hill WV,559,78,33,73,74,45,69,97,57,80,2016,37.2698395,-81.2223195
Boise ID,757,56,38,60,60,62,61,72,50,73,2016,43.6150186,-116.2023137
Boston MA-Manchester NH,506,68,44,54,57,71,66,63,53,76,2016,42.929687,-71.4352177
Bowling Green KY,736,69,42,66,58,70,59,71,58,74,2016,36.9685219,-86.4808043
Buffalo NY,514,71,41,61,61,59,64,76,50,78,2016,42.8864468,-78.8783689
Burlington VT-Plattsburgh NY,523,66,37,63,67,65,72,70,68,72,2016,44.6988382,-73.3804304
Butte-Bozeman MT,754,55,28,56,59,41,80,85,61,69,2016,45.671834,-111.089227
Casper-Riverton WY,767,54,26,66,62,37,59,81,47,87,2016,42.8505217,-106.3085313
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,67,47,63,68,43,68,75,69,84,2016,41.9778795,-91.6656232
Champaign & Springfield-Decatur IL,648,65,61,58,64,45,71,70,75,77,2016,,
Charleston SC,519,66,41,72,58,45,63,74,47,76,2016,32.7764749,-79.9310512
Charleston-Huntington WV,564,80,41,76,70,57,73,87,54,89,2016,38.4123775,-82.4270257
Charlotte NC,517,63,34,56,54,49,55,67,45,72,2016,35.2270869,-80.8431267
Charlottesville VA,584,72,68,67,66,61,78,72,70,82,2016,38.0293059,-78.4766781
Chattanooga TN,575,68,38,67,61,52,53,75,36,75,2016,35.0456297,-85.3096801
Cheyenne WY-Scottsbluff NE,759,64,36,60,59,38,67,94,48,71,2016,41.876312,-103.637984
Chicago IL,602,64,41,52,54,45,56,65,45,73,2016,41.8781136,-87.6297982
Chico-Redding CA,868,59,36,67,59,54,76,74,63,75,2016,39.775148,-121.8699698
Cincinnati OH,515,66,37,56,57,47,64,73,46,76,2016,39.1031182,-84.5120196
Clarksburg-Weston WV,598,76,33,68,69,45,71,93,50,76,2016,39.2638017,-80.326903
Cleveland-Akron (Canton) OH,510,69,43,58,61,51,58,76,48,77,2016,41.0953742,-81.5867677
Colorado Springs-Pueblo CO,752,58,33,58,62,44,61,79,36,70,2016,38.7978203,-104.7935738
Columbia SC,546,66,60,62,66,45,60,69,75,83,2016,34.0007104,-81.0348144
Columbia-Jefferson City MO,604,68,61,66,67,56,78,68,100,90,2016,38.9517053,-92.3340724
Columbus GA,522,69,72,61,60,57,54,72,68,80,2016,32.4609764,-84.9877094
Columbus OH,535,69,41,56,59,47,66,74,50,76,2016,39.9611755,-82.9987942
Columbus-Tupelo-West Point MS,673,69,54,63,69,65,65,72,66,86,2016,34.2708332,-88.7150718
Corpus Christi TX,600,63,42,52,54,48,62,76,49,89,2016,27.8005828,-97.396381
Dallas-Ft. Worth TX,623,57,41,53,51,54,56,68,37,71,2016,32.7766642,-96.7969879
Davenport IA-Rock Island-Moline IL,682,66,58,59,67,44,56,76,50,78,2016,41.5067003,-90.5151342
Dayton OH,542,66,39,56,60,47,66,76,44,83,2016,39.7589478,-84.1916069
Denver CO,751,57,36,54,54,47,58,65,46,67,2016,39.7392358,-104.990251
Des Moines-Ames IA,679,60,45,52,62,41,64,73,60,77,2016,42.0236281,-93.6097448
Detroit MI,505,66,48,60,58,57,61,71,43,73,2016,42.331427,-83.0457538
Dothan AL,606,64,45,65,65,63,54,91,40,72,2016,31.2232313,-85.3904888
Duluth MN-Superior WI,676,65,46,82,72,41,61,73,68,82,2016,46.7207737,-92.1040796
El Paso TX,765,61,63,47,59,40,56,68,58,94,2016,31.7618778,-106.4850217
Elmira NY,565,69,30,70,67,44,76,87,49,83,2016,42.0897965,-76.8077338
Erie PA,516,74,38,64,70,50,64,78,46,80,2016,42.1292241,-80.085059
Eugene OR,801,59,47,65,63,44,75,66,75,78,2016,44.0520691,-123.0867536
Eureka CA,802,55,29,61,62,47,66,56,46,64,2016,40.8020712,-124.1636729
Evansville IN,649,68,39,75,70,55,58,81,49,83,2016,37.9715592,-87.5710898
Fairbanks AK,745,47,45,75,56,24,77,75,61,66,2016,64.8377778,-147.7163888
Fargo-Valley City ND,724,63,51,80,65,39,68,76,67,81,2016,46.9243955,-98.0035186
Flint-Saginaw-Bay City MI,513,70,50,76,65,53,63,80,57,77,2016,43.5993199,-83.8890847
Florence-Myrtle Beach SC,570,63,38,63,55,46,49,65,42,71,2016,33.703071,-78.8892497
Fresno-Visalia CA,866,55,55,52,61,36,51,73,64,81,2016,36.32166,-119.3148878
Ft. Myers-Naples FL,571,75,46,68,48,52,50,63,37,72,2016,26.1411682,-81.7935098
Ft. Smith-Fayetteville-Springdale-Rogers AR,670,58,38,58,63,71,69,77,45,75,2016,,
Ft. Wayne IN,509,64,54,61,64,44,56,77,55,84,2016,41.079273,-85.1393513
Gainesville FL,592,77,97,77,69,69,84,64,93,95,2016,29.6516344,-82.3248262
Glendive MT,798,63,0,0,0,0,0,0,0,0,2016,47.106401,-104.7107931
Grand Junction-Montrose CO,773,62,43,69,64,38,68,70,54,76,2016,38.4967651,-107.8989028
Grand Rapids-Kalamazoo-Battle Creek MI,563,64,44,64,64,44,61,71,48,70,2016,42.2355515,-85.5515933
Great Falls MT,755,62,32,94,66,33,63,89,43,74,2016,47.5052849,-111.3007715
Green Bay-Appleton WI,658,61,34,65,62,36,61,70,50,69,2016,44.2667743,-88.3850175
Greensboro-High Point-Winston Salem NC,518,66,48,64,58,61,61,66,59,80,2016,35.9556923,-80.0053176
Greenville-New Bern-Washington NC,545,65,47,74,60,51,59,74,58,78,2016,35.5984979,-77.0577179
Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,68,39,63,60,60,60,72,44,76,2016,34.8526176,-82.3940104
